Name	DefiningManuscriptId	Role	RRID	Description	Antigen	AntibodyConjugate	Applications	Rating	Dilution	DilutionUnits	Source	Uniprot	VendorName	VendorCat	CloneName	Clonality	IsoType	Type	AntigenSpecies	TargetCells	PositiveControl	UsageNotes	RaisedIn
CD81-Yb173 antibody	PMID30760760	Producer			CD81	Yb173	cytometry time of flight assay 	5	0.12	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#1 out of 36)	
CD169-Er170 antibody	PMID30760760	Producer			CD169	Er170	cytometry time of flight assay 	5	0.25	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#2 out of 36)	
CD32-Er166 antibody	PMID30760760	Producer			CD32	Er166	cytometry time of flight assay 	5	0.25	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#3 out of 36)	
HLA-ABC-Yb172 antibody	PMID30760760	Producer			HLA-ABC	Yb172	cytometry time of flight assay 	5	0.25	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#4 out of 36)	
PD-L1-Gd160 antibody	PMID30760760	Producer			PD-L1	Gd160	cytometry time of flight assay 	5	0.25	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#5 out of 36)	
CD304-Gd156 antibody	PMID30760760	Producer			CD304	Gd156	cytometry time of flight assay 	5	0.5	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#6 out of 36)	
CD38-Nd142 antibody	PMID30760760	Producer			CD38	Nd142	cytometry time of flight assay 	5	0.5	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#7 out of 36)	
CD54-Yb176 antibody	PMID30760760	Producer			CD54	Yb176	cytometry time of flight assay 	5	0.5	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#8 out of 36)	
CD82-Tb159 antibody	PMID30760760	Producer			CD82	Tb159	cytometry time of flight assay 	5	0.5	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#9 out of 36)	
CD86-Yb171 antibody	PMID30760760	Producer			CD86	Yb171	cytometry time of flight assay 	5	0.5	ug/ml	Table 2 of defining manuscript							primary	human			Metal-labeled antibody used in newly developed mass cytometry-based phagocytosis assay (#10 out of 36)	
